2012년도 광역지자체 교통사고 현황,,,,,,,,,
,,,,,,,,,
시도,교통여건,,,교통사고 현황(경찰DB),,,교통사고 현황(통합DB),,
,자동차등록대수(대),인구수(명),도로연장(명),사고건수(건),사망자수(명),부상자수(명),사고건수(건),사망자수(명),부상자수(명)
계,"22,602,098","50,004,441","105,703","223,656","5,392","344,565","1,133,145","5,392","1,777,604"
서울,"3,455,791","9,975,881","8,198","40,829",424,"58,583","200,388",424,"290,220"
부산,"1,326,706","3,444,827","3,246","14,733",229,"21,202","62,185",229,"91,119"
경기,"4,919,342","11,936,855","12,983","44,763","1,039","71,026","245,780","1,039","396,055"
강원,"788,868","1,502,880","9,913","8,958",279,"15,553","32,401",279,"56,661"
충북,"844,581","1,550,851","6,337","8,636",280,"14,410","35,401",280,"58,647"
충남,"1,174,501","2,131,740","6,846","8,289",422,"13,731","45,602",422,"80,047"
전북,"1,003,796","1,804,627","8,028","9,948",353,"15,876","39,280",353,"64,369"
전남,"1,097,794","1,768,274","10,509","10,190",457,"17,258","32,817",457,"55,095"
경북,"1,644,853","2,644,525","12,318","15,597",569,"24,172","54,723",569,"85,790"
경남,"1,827,251","3,247,262","13,158","14,266",477,"21,025","60,459",477,"92,418"
제주,"345,743","558,702","3,397","3,869",92,"5,726","11,153",92,"17,637"
대구,"1,165,447","2,475,119","2,404","14,422",208,"20,931","57,776",208,"85,144"
인천,"1,143,868","2,793,288","2,535","9,757",201,"14,754","60,835",201,"95,170"
광주,"606,084","1,513,516","1,697","8,600",114,"13,886","35,721",114,"57,759"
대전,"640,788","1,539,956","1,929","5,631",123,"8,612","35,983",123,"57,294"
울산,"552,088","1,116,138","1,780","4,950",111,"7,483","24,807",111,"37,044"
세종,"64,597","103,127",423,218,14,337,610,14,"1,012"
